id,created_at,favorite_count,retweet_count,text
1489645107288625158,2022-02-04 17:00:44+00:00,22,2,"As part of Kia’s Accelerate the Good Program, we’re excited to announce Kia’s Pet Adoption Grants. Proud to support @Petfinder_fnd to help shelter dogs get adopted. Because every dog deserves to find their forever home. https://t.co/pp2l6frQeT
#RoboDog #LiveFullyCharged #KiaEV6 https://t.co/v8i0GwmMTt"
1489297860470493186,2022-02-03 18:00:54+00:00,407,119,"Sometimes in life, you just have to take the plunge to #LiveFullyCharged. Watch #RoboDog risk it all for the all-electric #KiaEV6. #MovementThatInspires https://t.co/c2paiMk0E6"
1488920420564848644,2022-02-02 17:01:05+00:00,21,6,"Tails—get ready to wag. Let the countdown to the #BigGame continue! 

#RoboDog #LiveFullyCharged #MovementThatInspires #KiaEV6 https://t.co/0qwcyKq1k9"
1488557946464309265,2022-02-01 17:00:45+00:00,92,17,"We're charged to 100 for the game. Let's goooooo.

#LiveFullyCharged #RoboDog #KiaEV6 #MovementThatInspires https://t.co/u7vKmyLD7g"
1488150224354914306,2022-01-31 14:00:36+00:00,275,36,"Get ready to fall in love on 2.13.22. 

#LiveFullyCharged #RoboDog #KiaEV6 #MovementThatInspires https://t.co/JXoNPFetrr"
1487522443556265985,2022-01-29 20:26:02+00:00,66,10,"Inspired style that’s at home in any setting. #KiaTelluride #NightfallEdition

https://t.co/TcK7yNVimP https://t.co/eH8BASB2nD"
1487165670169079808,2022-01-28 20:48:20+00:00,9,3,Who else can’t wait to see the new #NBAAllStar uniforms hit the court?! https://t.co/t3Ulkew5X7
1487161819491934211,2022-01-28 20:33:02+00:00,46,4,"Be inspired by the unpaved. #KiaSorento

https://t.co/Rd7i8gZom4 https://t.co/x7CfNfrXbn"
1486794910523179011,2022-01-27 20:15:04+00:00,36,3,"A new reality comes into focus. #KiaSorento #PHEV #AltFuel

https://t.co/DXD439e3CW https://t.co/zcA7qohivr"
1486435277136666627,2022-01-26 20:26:01+00:00,37,7,"Move with versatility. Either with a plug or at the pump – the choice is yours. #KiaSorento #PHEV #AltFuel

https://t.co/DXD439e3CW https://t.co/fAGxh5PEAj"
